File Size,Read Type,Scenario,Epoch,Duration (s),Throughput (MB/s),IOPS,GCSFuse Lowest Memory (MB),GCSFuse Highest Memory (MB),GCSFuse Lowest CPU (core),GCSFuse Highest CPU (core),Pod,Start,End
64K,read,local-ssd,1,32,1900,30401,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:02:09 UTC,2024-03-11 04:02:45 UTC
64K,read,local-ssd,2,32,1903,30459,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:03:09 UTC,2024-03-11 04:03:48 UTC
64K,read,local-ssd,3,31,2008,32141,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:04:12 UTC,2024-03-11 04:04:50 UTC
64K,read,local-ssd,4,32,1910,30561,0,0,0.0,0.0,fio-tester-read-64k-64k-local-ssd,2024-03-11 04:05:14 UTC,2024-03-11 04:05:51 UTC
64K,read,gcsfuse-no-file-cache,1,1036,60,964,3986,4153,0.66361,1.11107,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 03:10:41 UTC,2024-03-11 03:27:58 UTC
64K,read,gcsfuse-no-file-cache,2,912,68,1095,4152,4169,0.89804,1.12326,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 03:33:42 UTC,2024-03-11 03:48:54 UTC
64K,read,gcsfuse-no-file-cache,3,840,74,1190,4164,4179,0.946,1.16495,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 03:54:40 UTC,2024-03-11 04:08:40 UTC
64K,read,gcsfuse-no-file-cache,4,797,78,1253,4191,4195,0.98541,1.19184,fio-tester-read-64k-64k-gcsfuse-no-file-cache,2024-03-11 04:14:27 UTC,2024-03-11 04:27:44 UTC
64K,read,gcsfuse-file-cache,1,1049,59,952,3975,8547,0.65705,1.37626,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:10:39 UTC,2024-03-11 03:28:09 UTC
64K,read,gcsfuse-file-cache,2,68,906,14510,6099,6482,1.23412,1.78189,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:34:06 UTC,2024-03-11 03:35:20 UTC
64K,read,gcsfuse-file-cache,3,66,933,14940,6115,6245,2.15245,2.74102,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:41:13 UTC,2024-03-11 03:42:29 UTC
64K,read,gcsfuse-file-cache,4,66,937,14997,6108,6627,2.101,2.74346,fio-tester-read-64k-64k-gcsfuse-file-cache,2024-03-11 03:48:24 UTC,2024-03-11 03:49:38 UTC
128K,read,local-ssd,1,34,3594,28757,0,0,0.0,0.0,fio-tester-read-128k-128k-local-ssd,2024-03-11 05:00:27 UTC,2024-03-11 05:01:05 UTC
128K,read,local-ssd,2,33,3713,29710,0,0,0.0,0.0,fio-tester-read-128k-128k-local-ssd,2024-03-11 05:01:29 UTC,2024-03-11 05:02:07 UTC
128K,read,local-ssd,3,34,3644,29155,0,0,0.0,0.0,fio-tester-read-128k-128k-local-ssd,2024-03-11 05:02:31 UTC,2024-03-11 05:03:09 UTC
128K,read,local-ssd,4,34,3593,28746,0,0,0.0,0.0,fio-tester-read-128k-128k-local-ssd,2024-03-11 05:03:33 UTC,2024-03-11 05:04:12 UTC
128K,read,gcsfuse-no-file-cache,1,1137,109,879,4620,4826,0.70328,1.11886,fio-tester-read-128k-128k-gcsfuse-no-file-cache,2024-03-11 04:13:56 UTC,2024-03-11 04:32:53 UTC
128K,read,gcsfuse-no-file-cache,2,944,132,1059,4825,4850,0.94156,1.18211,fio-tester-read-128k-128k-gcsfuse-no-file-cache,2024-03-11 04:38:40 UTC,2024-03-11 04:54:24 UTC
128K,read,gcsfuse-no-file-cache,3,851,146,1174,4843,4852,1.05517,1.24906,fio-tester-read-128k-128k-gcsfuse-no-file-cache,2024-03-11 05:00:11 UTC,2024-03-11 05:14:22 UTC
128K,read,gcsfuse-no-file-cache,4,799,156,1250,4848,4857,1.14264,1.32134,fio-tester-read-128k-128k-gcsfuse-no-file-cache,2024-03-11 05:20:09 UTC,2024-03-11 05:33:29 UTC
128K,read,gcsfuse-file-cache,1,985,126,1014,4630,10998,0.68492,1.65569,fio-tester-read-128k-128k-gcsfuse-file-cache,2024-03-11 04:35:40 UTC,2024-03-11 04:52:05 UTC
128K,read,gcsfuse-file-cache,2,70,1761,14093,6808,7180,1.35074,1.91995,fio-tester-read-128k-128k-gcsfuse-file-cache,2024-03-11 04:58:12 UTC,2024-03-11 04:59:27 UTC
128K,read,gcsfuse-file-cache,3,68,1814,14514,6830,7316,2.04071,2.79557,fio-tester-read-128k-128k-gcsfuse-file-cache,2024-03-11 05:05:27 UTC,2024-03-11 05:06:38 UTC
128K,read,gcsfuse-file-cache,4,67,1841,14729,6824,7228,2.03552,2.64315,fio-tester-read-128k-128k-gcsfuse-file-cache,2024-03-11 05:12:37 UTC,2024-03-11 05:13:49 UTC
1M,read,local-ssd,1,157,6350,25403,0,0,0.0,0.0,fio-tester-read-1m-256k-local-ssd,2024-03-11 06:55:20 UTC,2024-03-11 06:57:58 UTC
1M,read,local-ssd,2,156,6383,25535,0,0,0.0,0.0,fio-tester-read-1m-256k-local-ssd,2024-03-11 06:58:22 UTC,2024-03-11 07:00:58 UTC
1M,read,local-ssd,3,154,6461,25847,0,0,0.0,0.0,fio-tester-read-1m-256k-local-ssd,2024-03-11 07:01:22 UTC,2024-03-11 07:03:57 UTC
1M,read,local-ssd,4,157,6356,25424,0,0,0.0,0.0,fio-tester-read-1m-256k-local-ssd,2024-03-11 07:04:21 UTC,2024-03-11 07:06:59 UTC
1M,read,gcsfuse-no-file-cache,1,1443,692,2770,4659,4813,0.755,1.7811,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 05:22:07 UTC,2024-03-11 05:46:10 UTC
1M,read,gcsfuse-no-file-cache,2,1327,753,3013,4807,4833,1.32371,1.95481,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 05:51:57 UTC,2024-03-11 06:14:05 UTC
1M,read,gcsfuse-no-file-cache,3,1194,837,3348,4840,4849,1.28411,2.0918,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 06:19:51 UTC,2024-03-11 06:39:46 UTC
1M,read,gcsfuse-no-file-cache,4,1021,978,3915,4846,4852,1.39119,2.42193,fio-tester-read-1m-256k-gcsfuse-no-file-cache,2024-03-11 06:45:35 UTC,2024-03-11 07:02:36 UTC
1M,read,gcsfuse-file-cache,1,1570,636,2547,4617,19455,0.80197,3.43583,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 05:12:20 UTC,2024-03-11 05:38:30 UTC
1M,read,gcsfuse-file-cache,2,171,5845,23382,6646,8678,1.52848,3.69177,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 05:45:24 UTC,2024-03-11 05:48:15 UTC
1M,read,gcsfuse-file-cache,3,172,5786,23146,6704,9232,4.16573,4.78572,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 05:54:52 UTC,2024-03-11 05:57:45 UTC
1M,read,gcsfuse-file-cache,4,173,5771,23085,6725,8663,4.1764,4.63847,fio-tester-read-1m-256k-gcsfuse-file-cache,2024-03-11 06:04:24 UTC,2024-03-11 06:07:18 UTC
100M,read,gcsfuse-no-file-cache,1,25393,3938,3938,2161,3082,1.30433,8.32523,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-03-07 13:25:19 UTC,2024-03-07 20:28:29 UTC
100M,read,gcsfuse-no-file-cache,2,1039,4810,4810,360,386,6.50914,9.03899,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:08:44 UTC,2024-02-14 23:26:03 UTC
100M,read,gcsfuse-no-file-cache,3,1140,4385,4385,361,385,7.74706,8.94602,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:26:40 UTC,2024-02-14 23:45:40 UTC
100M,read,gcsfuse-no-file-cache,4,1067,4683,4683,377,388,7.93685,8.98369,fio-tester-read-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:46:17 UTC,2024-02-15 00:04:05 UTC
100M,read,gcsfuse-file-cache,1,36838,2714,2714,7582,21668,1.70283,39.06624,fio-tester-read-100m-1m-gcsfuse-file-cache,2024-03-07 13:25:48 UTC,2024-03-07 23:39:48 UTC
100M,read,gcsfuse-file-cache,2,28125,3555,3555,9885,22363,2.06367,23.62927,fio-tester-read-100m-1m-gcsfuse-file-cache,2024-02-24 20:14:26 UTC,2024-02-25 04:03:13 UTC
100M,read,gcsfuse-file-cache,3,30169,3314,3314,8052,22125,1.80905,22.38998,fio-tester-read-100m-1m-gcsfuse-file-cache,2024-02-25 11:54:00 UTC,2024-02-25 20:16:57 UTC
100M,read,gcsfuse-file-cache,4,28507,3507,3507,8150,22139,2.02774,22.7589,fio-tester-read-100m-1m-gcsfuse-file-cache,2024-02-26 03:58:50 UTC,2024-02-26 11:53:58 UTC
200G,read,local-ssd,1,36,5626,5626,0,0,0.0,0.0,fio-tester-read-200g-1m-local-ssd,2024-02-22 08:59:22 UTC,2024-02-22 08:59:58 UTC
200G,read,local-ssd,2,32,6314,6314,0,0,0.0,0.0,fio-tester-read-200g-1m-local-ssd,2024-02-22 09:00:19 UTC,2024-02-22 09:00:51 UTC
200G,read,local-ssd,3,36,5635,5635,0,0,0.0,0.0,fio-tester-read-200g-1m-local-ssd,2024-02-22 09:01:12 UTC,2024-02-22 09:01:48 UTC
200G,read,local-ssd,4,37,5407,5407,0,0,0.0,0.0,fio-tester-read-200g-1m-local-ssd,2024-02-22 09:02:08 UTC,2024-02-22 09:02:46 UTC
200G,read,gcsfuse-no-file-cache,1,55,3658,3658,20,293,0.16965,0.57032,fio-tester-read-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:06:18 UTC,2024-03-11 03:07:15 UTC
200G,read,gcsfuse-no-file-cache,2,55,3671,3671,293,342,0.82274,1.60493,fio-tester-read-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:07:40 UTC,2024-03-11 03:08:37 UTC
200G,read,gcsfuse-no-file-cache,3,82,2489,2489,307,310,1.7855,2.40182,fio-tester-read-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:09:02 UTC,2024-03-11 03:10:26 UTC
200G,read,gcsfuse-no-file-cache,4,82,2497,2497,311,314,2.75009,2.85292,fio-tester-read-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:10:51 UTC,2024-03-11 03:12:15 UTC
200G,read,gcsfuse-file-cache,1,55,3684,3684,21,313,0.1181,0.48141,fio-tester-read-200g-1m-gcsfuse-file-cache,2024-03-11 03:06:14 UTC,2024-03-11 03:07:12 UTC
200G,read,gcsfuse-file-cache,2,51,3989,3989,313,431,0.75992,1.41684,fio-tester-read-200g-1m-gcsfuse-file-cache,2024-03-11 03:07:37 UTC,2024-03-11 03:08:30 UTC
200G,read,gcsfuse-file-cache,3,54,3767,3767,340,516,1.84745,2.41029,fio-tester-read-200g-1m-gcsfuse-file-cache,2024-03-11 03:08:58 UTC,2024-03-11 03:09:53 UTC
200G,read,gcsfuse-file-cache,4,63,3235,3235,516,812,2.50601,3.06012,fio-tester-read-200g-1m-gcsfuse-file-cache,2024-03-11 03:10:20 UTC,2024-03-11 03:11:24 UTC
1M,randread,local-ssd,1,158,6300,25203,0,0,0.0,0.0,fio-tester-randread-1m-256k-local-ssd,2024-03-11 08:29:47 UTC,2024-03-11 08:32:26 UTC
1M,randread,local-ssd,2,155,6425,25703,0,0,0.0,0.0,fio-tester-randread-1m-256k-local-ssd,2024-03-11 08:32:50 UTC,2024-03-11 08:35:26 UTC
1M,randread,local-ssd,3,155,6418,25673,0,0,0.0,0.0,fio-tester-randread-1m-256k-local-ssd,2024-03-11 08:35:50 UTC,2024-03-11 08:38:26 UTC
1M,randread,local-ssd,4,157,6351,25406,0,0,0.0,0.0,fio-tester-randread-1m-256k-local-ssd,2024-03-11 08:38:50 UTC,2024-03-11 08:41:28 UTC
1M,randread,gcsfuse-no-file-cache,1,2706,369,1478,4669,5380,0.78682,6.08961,fio-tester-randread-1m-256k-gcsfuse-no-file-cache,2024-03-11 07:12:11 UTC,2024-03-11 07:57:17 UTC
1M,randread,gcsfuse-no-file-cache,2,2926,341,1366,5109,5419,2.10917,5.26863,fio-tester-randread-1m-256k-gcsfuse-no-file-cache,2024-03-11 08:03:05 UTC,2024-03-11 08:51:51 UTC
1M,randread,gcsfuse-no-file-cache,3,2952,338,1354,5092,5434,2.05008,5.44371,fio-tester-randread-1m-256k-gcsfuse-no-file-cache,2024-03-11 08:57:41 UTC,2024-03-11 09:46:54 UTC
1M,randread,gcsfuse-no-file-cache,4,2896,345,1380,5096,5345,2.18177,5.22476,fio-tester-randread-1m-256k-gcsfuse-no-file-cache,2024-03-11 09:52:43 UTC,2024-03-11 10:41:00 UTC
1M,randread,gcsfuse-file-cache,1,2083,479,1919,4621,19669,0.83692,5.28332,fio-tester-randread-1m-256k-gcsfuse-file-cache,2024-03-11 06:16:18 UTC,2024-03-11 06:51:01 UTC
1M,randread,gcsfuse-file-cache,2,182,5487,21949,6644,9165,1.85043,3.72649,fio-tester-randread-1m-256k-gcsfuse-file-cache,2024-03-11 06:58:00 UTC,2024-03-11 07:01:03 UTC
1M,randread,gcsfuse-file-cache,3,182,5493,21972,6707,9312,4.18763,4.63679,fio-tester-randread-1m-256k-gcsfuse-file-cache,2024-03-11 07:07:41 UTC,2024-03-11 07:10:43 UTC
1M,randread,gcsfuse-file-cache,4,183,5463,21854,6715,8499,4.15964,4.47983,fio-tester-randread-1m-256k-gcsfuse-file-cache,2024-03-11 07:17:25 UTC,2024-03-11 07:20:28 UTC
100M,randread,gcsfuse-no-file-cache,1,7707,648,648,19,400,0.02714,10.51328,fio-tester-randread-100m-1m-gcsfuse-no-file-cache,2024-02-14 23:59:51 UTC,2024-02-15 02:08:18 UTC
100M,randread,gcsfuse-no-file-cache,2,7351,680,680,354,399,1.41831,8.84564,fio-tester-randread-100m-1m-gcsfuse-no-file-cache,2024-02-15 02:08:55 UTC,2024-02-15 04:11:26 UTC
100M,randread,gcsfuse-no-file-cache,3,7024,711,711,348,402,1.44023,9.06539,fio-tester-randread-100m-1m-gcsfuse-no-file-cache,2024-02-15 04:12:03 UTC,2024-02-15 06:09:08 UTC
100M,randread,gcsfuse-no-file-cache,4,6511,767,767,356,404,4.6325,9.42746,fio-tester-randread-100m-1m-gcsfuse-no-file-cache,2024-02-15 06:09:46 UTC,2024-02-15 07:58:18 UTC
100M,randread,gcsfuse-file-cache,1,5305,942,942,19,18583,0.02643,4.97309,fio-tester-randread-100m-1m-gcsfuse-file-cache,2024-02-14 22:56:25 UTC,2024-02-15 00:24:51 UTC
100M,randread,gcsfuse-file-cache,2,763,6552,6552,755,8425,3.66942,12.50509,fio-tester-randread-100m-1m-gcsfuse-file-cache,2024-02-15 00:27:12 UTC,2024-02-15 00:39:55 UTC
100M,randread,gcsfuse-file-cache,3,762,6557,6557,551,8391,9.23467,12.06316,fio-tester-randread-100m-1m-gcsfuse-file-cache,2024-02-15 00:41:51 UTC,2024-02-15 00:54:33 UTC
100M,randread,gcsfuse-file-cache,4,762,6554,6554,545,8395,8.53997,11.83424,fio-tester-randread-100m-1m-gcsfuse-file-cache,2024-02-15 00:56:29 UTC,2024-02-15 01:09:12 UTC
200G,randread,local-ssd,1,31,6536,6536,0,0,0.0,0.0,fio-tester-randread-200g-1m-local-ssd,2024-03-11 04:00:36 UTC,2024-03-11 04:01:08 UTC
200G,randread,local-ssd,2,31,6545,6545,0,0,0.0,0.0,fio-tester-randread-200g-1m-local-ssd,2024-03-11 04:01:28 UTC,2024-03-11 04:01:59 UTC
200G,randread,local-ssd,3,31,6545,6545,0,0,0.0,0.0,fio-tester-randread-200g-1m-local-ssd,2024-03-11 04:02:20 UTC,2024-03-11 04:02:51 UTC
200G,randread,local-ssd,4,31,6545,6545,0,0,0.0,0.0,fio-tester-randread-200g-1m-local-ssd,2024-03-11 04:03:12 UTC,2024-03-11 04:03:43 UTC
200G,randread,gcsfuse-no-file-cache,1,144,1419,1419,20,302,0.0736,2.95597,fio-tester-randread-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:13:29 UTC,2024-03-11 03:15:55 UTC
200G,randread,gcsfuse-no-file-cache,2,141,1445,1445,296,304,3.25842,5.96398,fio-tester-randread-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:16:20 UTC,2024-03-11 03:18:43 UTC
200G,randread,gcsfuse-no-file-cache,3,154,1324,1324,291,304,6.26403,9.11497,fio-tester-randread-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:19:07 UTC,2024-03-11 03:21:44 UTC
200G,randread,gcsfuse-no-file-cache,4,127,1606,1606,295,306,9.48882,11.49982,fio-tester-randread-200g-1m-gcsfuse-no-file-cache,2024-03-11 03:22:08 UTC,2024-03-11 03:24:18 UTC
200G,randread,gcsfuse-file-cache,1,152,1343,1343,0,0,0.00017,2.59809,fio-tester-randread-200g-1m-gcsfuse-file-cache,2024-03-11 03:12:47 UTC,2024-03-11 03:15:19 UTC
200G,randread,gcsfuse-file-cache,2,140,1453,1453,286,309,2.91018,5.58609,fio-tester-randread-200g-1m-gcsfuse-file-cache,2024-03-11 03:15:44 UTC,2024-03-11 03:18:05 UTC
200G,randread,gcsfuse-file-cache,3,136,1501,1501,308,337,5.85964,9.07329,fio-tester-randread-200g-1m-gcsfuse-file-cache,2024-03-11 03:18:30 UTC,2024-03-11 03:20:47 UTC
200G,randread,gcsfuse-file-cache,4,134,1523,1523,294,314,9.38573,11.33514,fio-tester-randread-200g-1m-gcsfuse-file-cache,2024-03-11 03:21:12 UTC,2024-03-11 03:23:27 UTC
